region,date,dis,id,catg,target
301,13/3/1986,62,7405,11,0
105,11/7/1996,69,4715,11,0
303,14/10/2014,62,20199,11,0
101,25/10/2011,60,10097,11,0
311,30/6/2006,63,20967,12,0
101,28/5/2009,60,11122,11,0
104,22/10/2002,69,811,11,0
104,25/5/1999,69,392,11,0
101,25/4/2006,60,747,11,0
311,30/11/1999,63,4814,11,0
104,17/11/2011,69,8768,11,0
104,13/7/2017,69,8483,51,0
311,17/10/2014,63,22656,11,0
301,30/12/1981,62,23139,11,0
101,22/12/1997,60,2267,11,0
301,17/10/1983,62,3657,11,0
308,7/11/2012,63,17624,11,1
104,9/7/2015,69,7716,11,0
307,16/9/2009,62,113,11,1
313,3/3/2010,63,16687,11,0
303,22/6/2016,62,5102,11,0
101,16/4/1979,60,3216,11,0
101,23/2/2004,60,3451,11,0
101,26/10/2010,63,16509,11,0
303,12/3/2003,62,5253,11,0
303,19/2/2007,62,4903,11,0
104,20/12/2012,69,20435,11,0
310,31/12/1996,62,7539,11,0
304,14/10/2014,62,6212,11,0
104,8/4/2002,69,12333,11,0
312,11/5/2000,63,1758,11,0
101,29/8/2016,60,14092,11,0
104,13/5/2011,69,9315,11,0
101,28/11/2011,60,22380,11,0
301,26/12/2014,62,10407,11,0
309,29/11/2004,62,18020,11,0
310,6/12/1993,62,23413,11,0
101,13/9/2007,60,12004,11,0
101,16/5/2012,60,16969,11,0
101,5/3/1977,60,12292,11,0
312,4/2/2016,63,4038,11,0
304,28/10/1996,62,22667,11,0
307,10/9/2012,62,12311,11,0
101,28/12/2016,60,21168,11,0
313,10/8/2011,63,9978,11,0
309,6/11/2009,62,1791,11,0
311,31/12/2003,63,2458,11,0
301,30/8/2013,62,4750,11,0
305,22/4/1992,62,1492,11,0
312,27/12/1990,63,2278,11,1
101,19/3/1987,60,11313,11,0
301,12/10/2001,62,9683,12,0
101,27/12/1990,63,17662,11,0
310,27/8/2010,62,17637,11,0
105,17/11/2012,69,18510,11,0
107,17/1/2008,69,3349,11,0
309,30/3/2015,62,10529,11,0
301,5/11/2014,62,20193,11,0
307,20/5/2011,62,20002,11,0
104,5/12/2007,69,3674,12,0
103,12/9/2012,69,22631,11,0
101,23/7/2012,60,20527,11,0
313,4/2/2013,63,22065,11,0
306,9/9/2017,63,4168,11,0
306,26/11/2013,63,18820,11,0
107,15/5/2013,69,4510,11,0
101,14/8/2010,60,17207,11,0
104,5/1/2008,69,7985,11,0
104,28/8/2010,69,2305,11,0
107,11/3/2014,69,12382,11,0
101,5/9/2006,60,12053,11,0
101,27/2/1989,60,20190,11,0
101,12/3/2015,60,21419,11,0
101,11/7/2011,60,5986,11,0
107,5/9/2011,69,15566,11,0
311,8/3/2014,63,16567,11,0
312,19/1/2018,63,15368,11,0
301,25/2/1983,62,8758,11,0
104,1/9/2016,69,14628,11,0
303,10/4/1998,62,8295,11,0
303,23/3/2000,62,16888,11,0
306,6/9/1988,63,19072,11,0
104,10/7/2008,69,13297,11,0
105,22/2/2001,69,21133,11,0
307,18/6/2016,62,4465,11,0
104,10/3/2013,69,16111,11,0
107,11/8/1986,69,18537,11,0
371,25/4/2017,62,16098,11,0
306,2/6/2010,63,12909,51,0
101,30/11/2015,60,15312,11,0
306,11/5/2017,63,4159,11,0
310,28/6/2007,62,12371,11,0
104,7/10/2016,69,7718,11,0
312,1/2/2011,63,16874,11,0
107,3/12/2014,69,16255,11,0
305,29/10/2012,62,17168,11,0
311,12/6/2010,63,15772,11,0
311,24/10/2016,63,4049,11,0
101,3/10/2013,60,13932,11,0
302,17/5/2011,62,4086,11,1
301,28/3/2012,62,8970,51,1
306,12/12/2012,63,16552,11,0
372,31/8/2015,63,17834,11,0
107,17/9/2011,69,16350,11,0
306,16/5/2002,63,2916,11,0
311,11/1/2017,63,11463,11,0
101,1/10/2007,60,15200,11,0
303,14/2/2013,62,12281,11,0
303,30/8/2017,62,7993,11,0
301,30/5/2014,62,19610,11,0
104,30/9/2015,69,19705,11,0
310,11/1/2018,62,17083,11,0
104,18/10/1995,69,1798,11,1
379,12/6/1991,63,8475,11,0
301,8/3/2012,62,15733,11,0
303,17/9/2008,62,965,11,0
104,11/12/2015,69,23325,11,0
302,1/6/2011,62,12273,11,0
103,29/1/2014,69,16253,11,0
310,16/10/1997,62,15754,11,0
303,30/12/1998,62,20018,11,0
301,5/11/2010,62,6440,11,0
306,4/9/2014,63,21808,11,0
311,9/3/2016,63,476,11,0
107,26/1/2017,69,21023,11,0
101,22/12/2015,63,17388,11,0
310,22/9/1998,62,7033,11,1
303,15/4/1988,62,20078,11,0
101,26/12/1981,60,13950,11,0
101,9/1/2010,63,9348,11,0
310,28/6/1988,62,13443,11,0
104,20/8/1986,69,818,11,1
107,26/11/2012,69,8609,11,0
311,6/5/2013,63,14107,11,0
107,15/11/2011,69,18786,11,0
306,7/1/2016,63,3247,11,0
104,3/7/2014,69,16023,11,0
313,13/5/2014,63,14486,11,0
310,20/8/2009,62,14839,11,0
301,17/4/1985,62,3907,11,0
372,8/10/2010,63,9850,11,0
305,14/6/2010,62,19981,11,0
302,4/8/2016,62,7485,11,0
107,13/9/2000,69,9746,11,0
101,31/12/2011,60,1913,11,0
107,29/5/2012,69,8291,12,0
301,10/6/1983,62,21134,11,0
101,19/2/2013,60,4232,11,0
101,14/8/2010,60,12657,11,0
101,12/5/2010,60,7510,11,0
309,10/6/2005,62,12660,11,0
379,10/6/2017,63,16375,11,0
101,20/12/1991,60,18576,11,0
306,18/10/1983,63,1782,11,0
306,16/6/2017,63,4306,11,0
311,12/5/2014,63,10943,11,0
313,11/9/2009,63,19726,11,0
101,5/3/1977,60,22082,11,0
101,20/9/1994,60,16922,11,1
306,21/4/2014,63,10887,11,0
307,30/9/2014,62,18810,11,0
305,15/7/1982,62,6547,11,1
304,9/10/2000,62,8146,11,0
399,14/12/1988,63,2215,11,0
311,12/2/2016,63,15191,11,0
311,10/11/2014,63,16440,11,0
301,8/6/2015,62,4714,11,0
104,20/12/1994,69,15682,11,0
107,10/8/2014,69,21188,11,0
103,29/11/2011,69,17502,11,1
101,14/10/1980,60,2283,11,0
306,2/12/2010,63,5987,11,0
101,19/4/2007,60,12928,11,0
307,16/7/2015,62,9832,11,0
313,9/10/2015,63,10705,11,0
101,30/12/1998,60,16606,11,0
101,22/10/1977,60,22857,11,0
310,24/9/1999,62,12672,11,0
309,7/12/2012,62,21920,11,0
301,2/4/2014,62,5366,11,0
101,16/7/2009,60,1363,11,0
105,15/5/2013,69,5317,11,0
304,23/11/2009,62,15043,11,1
105,10/4/1995,69,13589,11,0
104,6/10/2004,69,2546,11,0
105,27/6/1997,69,3706,11,0
311,23/11/2013,63,17669,11,0
311,19/10/2015,63,13109,11,0
303,28/6/2007,62,16492,11,0
104,30/5/2002,69,19576,11,1
101,13/4/2011,60,13034,11,0
104,2/8/2013,69,5821,11,0
303,17/12/2013,62,1670,11,0
101,3/6/2010,60,5657,11,0
104,16/12/1991,69,523,11,0
101,12/4/2016,63,5101,11,0
107,20/5/2005,69,3719,11,0
312,18/1/2017,63,17854,11,0
311,17/10/2017,63,3883,11,0
307,1/1/1998,62,5002,11,0
101,22/12/2008,60,21222,11,0
306,31/12/2004,63,15944,11,0
303,29/5/2013,62,18195,11,0
303,8/3/2012,62,15528,11,0
306,28/9/2007,63,12542,11,0
301,25/4/2014,62,17615,11,0
301,26/7/1979,62,3437,11,0
101,28/12/2012,60,14256,11,0
103,11/12/2014,69,22836,11,0
104,17/12/1987,69,12431,11,0
101,23/4/2012,60,6445,11,0
313,23/11/2013,63,12465,11,0
101,27/5/2013,60,4328,11,0
